"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2347227";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347227";"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"10000";"Deputado";"Professora Goreth";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"AP";"7";"1"
"2347227";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347227";"133439";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"10000";"Deputado";"André Figueiredo";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE";"4";"0"
"2347227";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347227";"160598";"https://dadosabertos.camara.leg.br/api/v2/deputados/160598";"10000";"Deputado";"Flávia Morais";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"GO";"1";"1"
"2347227";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347227";"160592";"https://dadosabertos.camara.leg.br/api/v2/deputados/160592";"10000";"Deputado";"Zeca Dirceu";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PR";"9";"0"
"2347227";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347227";"72442";"https://dadosabertos.camara.leg.br/api/v2/deputados/72442";"10000";"Deputado";"Felipe Carreras";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"PE";"8";"0"
"2347227";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347227";"204560";"https://dadosabertos.camara.leg.br/api/v2/deputados/204560";"10000";"Deputado";"Adolfo Viana";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"BA";"2";"0"
"2347226";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347226";"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"10000";"Deputado";"Professora Goreth";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"AP";"4";"1"
"2347226";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347226";"133439";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"10000";"Deputado";"André Figueiredo";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE";"3";"0"
"2347226";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347226";"160598";"https://dadosabertos.camara.leg.br/api/v2/deputados/160598";"10000";"Deputado";"Flávia Morais";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"GO";"1";"1"
"2347226";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347226";"160592";"https://dadosabertos.camara.leg.br/api/v2/deputados/160592";"10000";"Deputado";"Zeca Dirceu";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PR";"7";"0"
